set,MWa,logKowb,Mptc,LogSaqd,LogSoce,Hdf,Hag,Texpi,Skin thicknessj,logkpl
t,139.1,1.91,387.0,-4,-2.09,1.0,4.0,298.0,0.1,-2.2500000000000004
t,171.03,2.92,270.0,-5.586217237906348,-2.6662172379063485,0.0,0.0,305.0,0.128,-1.8920273597686492
t,171.03,2.92,270.0,-5.586217237906348,-2.6662172379063485,0.0,0.0,305.0,0.075,-1.5451197935964611
t,108.1,1.04,258.0,-3.3979400086720375,-2.3579400086720375,1.0,1.0,298.0,0.1,-2.222059991327963
t,184.27,3.67,183.0,-6.18531356201768,-2.5153135620176803,0.0,2.0,305.0,0.128,-1.8243453715551945
t,184.27,3.67,183.0,-6.18531356201768,-2.5153135620176803,0.0,2.0,305.0,0.075,-2.1128900732676494
t,134.18,1.791,304.5,-4.803176123288123,-3.012176123288123,1.0,1.0,305.0,0.128,-1.4789034162109513
t,134.18,1.791,304.5,-4.803176123288123,-3.012176123288123,1.0,1.0,305.0,0.075,-1.5432991634942306
t,117.15,1.87,301.0,-5.000298986188565,-3.130298986188565,0.0,1.0,305.0,0.128,-1.5107606235200577
t,117.15,1.87,301.0,-5.000298986188565,-3.130298986188565,0.0,1.0,305.0,0.075,-1.343360498292811
t*,164.24,2.89,310.95,-5.344408145578639,-2.454408145578639,1.0,1.0,310.0,0.1,-0.9469215565165803
t,154.25,3.56,258.0,-6.129559481210065,-2.5695594812100646,1.0,1.0,305.0,0.128,-1.0140143705888278
t,154.25,3.56,258.0,-6.129559481210065,-2.5695594812100646,1.0,1.0,305.0,0.075,-0.9866193802049792
t,173.0,2.49,337.0,-4.060480747381382,-1.570480747381381,1.0,1.0,298.0,0.1,-1.439519252618619
t,108.1,1.94,309.0,-3.721246399047171,-1.781246399047171,1.0,1.0,298.0,0.1,-1.7487536009528295
t,108.1,1.95,309.0,-3.6020599913279625,-1.6520599913279623,1.0,1.0,310.0,0.01,-0.9208187539523752
t,128.6,2.43,317.0,-3.721246399047171,-1.2912463990471708,1.0,1.0,298.0,0.1,-1.4487536009528292
t,108.1,-0.25,419.0,-3.3467874862246565,-3.5967874862246565,4.0,2.0,305.0,0.1,-3.619788758288394
t,108.1,1.96,285.0,-3.638272163982407,-1.6782721639824072,1.0,1.0,298.0,0.1,-1.8117278360175935
t,110.1,0.76,384.0,-2.1870866433571443,-1.4270866433571443,2.0,2.0,298.0,0.1,-3.6229133566428553
t,110.11,0.8,384.0,-2.0390366652074574,-1.2390366652074571,2.0,2.0,310.0,0.1,-3.07
t,110.11,0.8,384.0,-2.0989912289303554,-1.2989912289303551,2.0,2.0,305.0,0.128,-2.3564280806081292
t,110.11,0.8,384.0,-2.0989912289303554,-1.2989912289303551,2.0,2.0,305.0,0.075,-2.420232660873994
t,126.11,0.16,491.5,-3.8641972174800743,-3.704197217480074,3.0,3.0,310.0,0.1,-2.51
t,92.1,2.68,178.0,-5.2441251443275085,-2.564125144327508,0.0,0.0,310.0,0.01,-0.08092190762392612
t,94.1,1.48,314.0,-2.9208187539523753,-1.4408187539523751,1.0,1.0,310.0,0.1,-1.709965388637482
t,94.1,1.48,314.0,-3.0861861476162833,-1.6061861476162833,1.0,1.0,295.0,0.1,-3.8279227430305194
t,94.1,1.48,314.0,-3.0809219076239263,-1.600921907623926,1.0,1.0,298.0,0.1,-2.089078092376074
t,94.11,1.46,314.0,-2.9208187539523753,-1.4608187539523751,1.0,1.0,310.0,0.1,-2.03
t,90.1,-0.27,183.0,-1.9913998282380825,-2.27,1.0,2.0,303.0,0.1,-3.6020599913279625
t,102.2,1.94,228.0,-4.236572006437063,-2.2965720064370627,1.0,1.0,298.0,0.1,-1.8860566476931633
t,102.2,1.989,228.4,-4.118560566771834,-2.129560566771834,1.0,1.0,310.0,0.1,-1.8860566476931633
t,102.2,1.989,228.4,-4.238598884156549,-2.2495988841565495,1.0,1.0,308.0,0.1,-1.494850021680094
t,118.17,0.83,198.2,-2.1186153432294272,-1.2891864077192086,1.0,2.0,310.0,0.1,-2.2676062401770314
t,118.17,0.83,198.2,-2.1186153432294272,-1.2891864077192086,1.0,2.0,310.0,0.1,-2.0757207139381184
t,118.17,0.83,198.2,-2.1186153432294272,-1.2891864077192086,1.0,2.0,310.0,0.1,-2.3565473235138126
t,118.17,0.83,198.2,-2.1186153432294272,-1.2891864077192086,1.0,2.0,310.0,0.1,-2.3010299956639813
t,118.17,0.83,198.2,-2.1186153432294272,-1.2891864077192086,1.0,2.0,310.0,0.1,-2.283996656365201
t,130.2,3.0,258.0,-5.3872161432802645,-2.3872161432802645,1.0,1.0,298.0,0.1,-1.2839966563652008
t,130.2,3.0,258.0,-5.3872161432802645,-2.3872161432802645,1.0,1.0,303.0,0.1,-1.214670164989233
t,130.2,3.1501421618485588,258.0,-5.3872161432802645,-2.2370739814317053,1.0,1.0,298.0,0.1,-1.154901959985743
t,130.2,3.0,258.0,-5.3872161432802645,-2.3872161432802645,1.0,1.0,310.0,0.1,-1.2839966563652008
t,130.2,3.1501421618485588,258.0,-5.3872161432802645,-2.2370739814317053,1.0,1.0,308.0,0.1,-1.0301183562535001
t,158.3,4.06,279.0,-6.638272163982407,-2.578272163982407,1.0,1.0,298.0,0.1,-1.0969100130080565
t,158.28,3.9,279.0,-6.631224317526996,-2.731224317526996,1.0,1.0,310.0,0.1,-1.958607314841775
t,158.28,3.9,279.0,-6.638272163982407,-2.738272163982407,1.0,1.0,310.0,0.1,-1.9030899869919435
t,158.28,3.9,279.0,-6.638272163982407,-2.738272163982407,1.0,1.0,310.0,0.1,-1.7958800173440752
t,158.28,3.9,279.0,-6.638272163982407,-2.738272163982407,1.0,1.0,310.0,0.1,-1.8794260687941502
t,158.28,3.9,279.0,-6.638272163982407,-2.738272163982407,1.0,1.0,310.0,0.1,-1.75448733218585
t,158.3,4.239999792886872,279.0,-6.638272163982407,-2.3982723710955347,1.0,1.0,298.0,0.1,-1.0457574905606752
t,158.28,4.06,279.0,-6.638272163982407,-2.578272163982407,1.0,1.0,310.0,0.1,-1.0969100130080565
t,158.3,4.239999792886872,279.0,-6.638272163982407,-2.3982723710955347,1.0,1.0,308.0,0.1,-1.1450869776921444
t,162.23,0.6,162.9,-2.179780215125727,-1.579780215125727,1.0,3.0,305.0,0.128,-2.166883050556182
t,162.23,0.6,162.9,-2.179780215125727,-1.579780215125727,1.0,3.0,305.0,0.075,-2.2360003570158504
t,282.45999,7.73,286.5,-10.036207993830947,-2.306207993830945,1.0,2.0,310.0,0.1,-2.886056647693163
t,390.56,5.03,223.0,-8.90058282882991,-3.870582828829908,0.0,4.0,310.0,0.1,-4.096910013008056
t,154.1,0.96,399.0,-4.051940329512179,-3.0919403295121795,3.0,5.0,305.0,0.1,-4.0655015487564325
t,152.0,2.23,265.0,-5.014526253196596,-2.7845262531965966,1.0,3.0,305.0,0.1,-1.4436974992327127
t,182.218,3.18,323.0,-6.05042490084487,-2.8704249008448697,0.0,1.0,305.0,0.128,-1.1382215982862152
t,182.218,3.18,323.0,-6.05042490084487,-2.8704249008448697,0.0,1.0,305.0,0.075,-1.249206133197458
t,110.11,0.88,378.0,-2.233156003950645,-1.353156003950645,2.0,2.0,310.0,0.1,-2.51
t,163.0,3.06,318.0,-4.508638306165727,-1.4486383061657269,1.0,1.0,298.0,0.1,-1.2213616938342735
t,163.0,3.1,315.5,-4.558975090628614,-1.4589750906286139,1.0,1.0,310.0,0.1,-1.0213630516155257
t,163.0,3.1,315.5,-4.558975090628614,-1.4589750906286139,1.0,1.0,310.0,0.1,-1.2426039712069759
t,163.0,3.1,315.5,-4.558975090628614,-1.4589750906286139,1.0,1.0,310.0,0.1,-1.1511952989481962
t,163.0,3.1,315.5,-4.558975090628614,-1.4589750906286139,1.0,1.0,310.0,0.1,-1.1797985405143596
t,250.33,5.29,325.5,-6.982149956134179,-1.692149956134178,1.0,3.0,310.0,0.1,-2.0315170514460648
t,250.33,5.29,325.5,-6.982149956134179,-1.692149956134178,1.0,3.0,310.0,0.1,-1.9100948885606022
t,250.33,5.29,325.5,-6.982149956134179,-1.692149956134178,1.0,3.0,310.0,0.1,-1.7878123955960423
t,250.33,5.29,325.5,-6.982149956134179,-1.692149956134178,1.0,3.0,310.0,0.1,-1.8210230527068305
t,250.33,5.29,325.5,-6.982149956134179,-1.692149956134178,1.0,3.0,310.0,0.1,-1.978810700930062
t,146.19,2.149,313.0,-4.948238551133147,-2.799238551133147,0.0,1.0,305.0,0.128,-1.1186337586407673
t,146.19,2.149,313.0,-4.948238551133147,-2.799238551133147,0.0,1.0,305.0,0.075,-1.407948730774537
t,122.2,2.47,318.0,-4.3872161432802645,-1.917216143280264,1.0,1.0,298.0,0.1,-1.4627838567197358
t,110.11,0.62,446.5,-4.099322656469463,-3.479322656469463,2.0,2.0,303.0,0.1,-5.0301183562535
t,110.11,0.59,445.3,-3.013713666292874,-2.423713666292874,2.0,2.0,310.0,0.1,-2.9500000000000006
t,110.11,0.62,446.5,-4.099322656469463,-3.479322656469463,2.0,2.0,305.0,0.128,-2.4164425937742524
t,110.11,0.62,446.5,-4.099322656469463,-3.479322656469463,2.0,2.0,305.0,0.075,-1.9038513921333071
t,394.5,1.03,543.0,-6.698970004336019,-5.6689700043360185,4.0,6.0,298.0,0.01,-5.400116927926312
t,194.18,1.69,278.5,-4.611090127243277,-2.9210901272432768,0.0,4.0,305.0,0.128,-1.6478210395341824
t,194.18,1.69,278.5,-4.611090127243277,-2.9210901272432768,0.0,4.0,305.0,0.075,-1.5525848359100596
t,144.2,2.71,396.0,-5.161150909262744,-2.4511509092627444,1.0,1.0,298.0,0.1,-1.5543957967264024
t,144.0,2.71,396.0,-5.082195552750317,-2.3721955527503167,1.0,1.0,305.0,0.1,-1.2006594505464183
t,248.32,-0.33,442.0,-6.644199439717527,-6.974199439717527,3.0,4.0,310.0,0.1,-3.703334809738469
t,249.0,0.65,381.0,-2.457972971184475,-1.8079729711844748,2.0,3.0,310.0,0.1,-2.786641646375609
t,234.0,2.4800069429571505,342.0,-4.6777807052660805,-2.19777376230893,1.0,3.0,298.0,0.1,-2.5228787452803374
t,234.0,2.4800069429571505,342.0,-4.6777807052660805,-2.19777376230893,1.0,3.0,298.0,0.1,-2.5228787452803374
t*,234.33,2.48,342.0,-4.790044295908518,-2.3100442959085177,1.0,3.0,298.0,0.1,-2.401209493236885
t,172.178,1.072,263.0,-5.217278171285895,-4.145278171285895,0.0,4.0,305.0,0.128,-1.5860841602450888
t,172.178,1.072,263.0,-5.217278171285895,-4.145278171285895,0.0,4.0,305.0,0.075,-1.6674009764666726
t,166.17,1.63,330.0,-4.0740449726105386,-2.444044972610539,1.0,3.0,310.0,0.01,-1.6989700043360187
t,144.0,3.53,268.0,-6.013228265733755,-2.483228265733755,1.0,1.0,298.0,0.1,-1.2218487496163564
t,144.26,3.53,268.0,-6.013228265733755,-2.483228265733755,1.0,1.0,310.0,0.1,-1.2218487496163564
t,132.16,2.123,265.0,-4.908554289290027,-2.7855542892900265,0.0,1.0,305.0,0.128,-1.3843349862432093
t,132.16,2.123,265.0,-4.908554289290027,-2.7855542892900265,0.0,1.0,305.0,0.075,-1.5530787125487597
t,316.5,4.52,466.0,-7.823908740944319,-3.303908740944319,1.0,2.0,299.0,0.1,-2.8239087409443187
t,332.5,3.75,541.5,-4.807929458658187,-1.0579294586581862,2.0,3.0,299.0,0.1,-3.2218487496163566
t,194.18,-2.5,431.0,-1.9976531768566925,-4.497653176856693,4.0,6.0,310.0,0.1,-3.6802695056697754
t,150.0,3.54,295.0,-5.78076486598633,-2.2407648659863297,1.0,1.0,305.0,0.1,-1.114638779968488
t,341.4,1.92,442.0,-5.539622692604534,-3.619622692604534,2.0,5.0,310.0,0.1,-2.6664407795090987
t,151.2,-0.09,450.0,-3.853871964321762,-3.943871964321762,3.0,3.0,310.0,0.01,-3.3467874862246565
t,152.19,2.37,328.0,-4.646370882143489,-2.2763708821434885,1.0,2.0,305.0,0.1,-1.8239087409443189
t,152.19,2.37,328.0,-4.646370882143489,-2.2763708821434885,1.0,2.0,305.0,0.1,-1.8258978697817616
t,476.6,3.98,457.0,-7.721246399047171,-3.7412463990471707,2.0,6.0,298.0,0.01,-2.880414225038216
t*,462.5,2.113943352306837,444.0,-6.713324315309428,-4.5993809630025915,3.0,8.0,310.0,0.01,-3.2006594505464183
t,198.02,3.48,316.0,-5.622794962086061,-2.142794962086061,0.0,2.0,305.0,0.128,-1.7513498012700308
t,198.02,3.48,316.0,-5.622794962086061,-2.142794962086061,0.0,2.0,305.0,0.075,-1.8410055990255116
t,316.42,1.83,345.0,-5.889192821777605,-4.0591928217776045,2.0,8.0,310.0,0.1,-3.535212480354063
t,316.42,1.83,345.0,-5.963008408768615,-4.133008408768615,2.0,8.0,305.0,0.1,-3.570162619012714
t,197.191,0.661,401.0,-6.203705142551964,-5.542705142551965,3.0,5.0,305.0,0.075,-1.6705888516886631
t,197.191,0.661,401.0,-6.203705142551964,-5.542705142551965,3.0,5.0,305.0,0.128,-2.32271042397763
t,266.0,-1.77,428.0,-4.923801196637062,-6.693801196637063,4.0,5.0,310.0,0.1,-3.96657624451305
t,190.19,1.474,363.0,-4.592982499339028,-3.118982499339028,0.0,3.0,305.0,0.128,-0.9191539169826037
t,190.19,1.474,363.0,-4.592982499339028,-3.118982499339028,0.0,3.0,305.0,0.075,-0.7817801431125306
t,304.35001,3.77,393.0,-6.730590724570798,-2.9605907245707983,0.0,6.0,310.0,0.1,-2.0604807473813813
t*,150.22,2.33,300.5,-4.679283364976197,-2.3492833649761957,1.0,1.0,310.0,0.1,-1.080921907623926
t*,460.6,4.48,388.0,-8.252004638822987,-3.7720046388229855,2.0,6.0,310.0,0.01,-2.0
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-3.993448390913352
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-4.002788417167495
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-4.0253962079129675
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-4.018815862601646
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-4.174184555014796
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-3.1012748184105066
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-4.3198458582656265
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-4.179862874042713
t,309.4,-1.06,403.0,-4.358073898560588,-5.418073898560588,4.0,5.0,310.0,0.1,-4.101274818410507
t,336.5,3.93,361.0,-6.086186147616283,-2.1561861476162827,0.0,3.0,310.0,0.1,-1.978810700930062
t,336.5,3.93,361.0,-6.086186147616283,-2.1561861476162827,0.0,3.0,310.0,0.1,-1.9469215565165803
t,278.42999,6.52,261.7,-9.35129432663134,-2.8312943266313395,1.0,2.0,310.0,0.1,-2.431798275933005
t,150.0,3.28,276.5,-5.053875380782855,-1.7738753807828542,1.0,1.0,305.0,0.1,-1.2533658010624211
t*,392.464,2.06,535.0,-6.593799825875174,-4.533799825875174,3.0,5.0,298.0,0.1,-4.1938200260161125
t,346.5,1.76,454.0,-6.2076083105017466,-4.447608310501746,2.0,4.0,300.0,0.1,-3.265874855672492
t,346.5,1.76,454.0,-6.229147988357856,-4.4691479883578555,2.0,4.0,299.0,0.1,-4.221848749616356
t,346.5,1.76,454.0,-6.2441251443275085,-4.484125144327509,2.0,4.0,298.0,0.01,-4.675717544702307
t,346.5,1.76,454.0,-6.040958607678906,-4.280958607678906,2.0,4.0,312.0,0.1,-2.585874855672492
t,346.0,1.76,454.0,-6.2441251443275085,-4.484125144327509,2.0,4.0,298.0,0.1,-3.5228787452803374
t,346.5,1.76,454.0,-6.2076083105017466,-4.447608310501746,2.0,4.0,298.0,0.1,-3.5228787452803374
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.938547520912807
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.753501419204199
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.4308602745275403
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.8886030506543936
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.2209810280851294
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.912218582190458
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.0474981521369764
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.9160675983613742
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.8082137524178006
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.5803746391122568
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.899629454882437
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.360912128916263
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.9593976598859268
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.6955094722265123
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.96657624451305
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.7361273231347765
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.410273743745763
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.099305225547602
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.8754957751657177
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.8754957751657177
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.379239510005794
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.319845858265627
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.123551213121659
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.790484985457369
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.8204482088348124
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.509199047989145
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.105241005628108
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.86049872526409
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.7276941555979137
t,346.5,1.9,454.0,-6.460521992900201,-4.560521992900201,2.0,4.0,310.0,0.1,-3.164943898279884
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.912218582190458
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.4943074925878
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.3297541469258762
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.208169052325164
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.912218582190458
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.3573376685579643
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.2031482509501132
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.1319436381769585
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.925183559354825
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.665546248849069
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.38679264789624
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.368150537840182
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.899629454882437
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.410273743745763
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.164943898279884
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.9046214004399362
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.6802695056697754
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.912218582190458
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.285335007137463
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-2.0320777932694827
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.9046214004399362
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-1.7113037394097443
t,346.0,1.9395192526186185,454.0,-6.460521992900201,-4.521002740281582,2.0,4.0,298.0,0.1,-4.0
t,347.0,1.94,454.0,-6.460521992900201,-4.520521992900201,2.0,4.0,310.0,0.1,-3.234182484690082
t*,346.5,1.94,454.0,-6.460480629551257,-4.520480629551257,2.0,4.0,298.0,0.1,-4.0
t*,346.5,1.75,454.0,-6.0948102972021125,-4.3448102972021125,2.0,4.0,308.0,0.1,-3.3346836953023065
t,362.5,1.43,493.0,-6.036212172654444,-4.606212172654445,3.0,5.0,299.0,0.1,-5.522878745280337
t,362.5,1.43,493.0,-6.055517327849832,-4.625517327849831,3.0,5.0,298.0,0.01,-5.527243550682788
t,362.45999,1.76,493.0,-6.055517327849832,-4.295517327849831,3.0,5.0,310.0,0.1,-3.638272163982407
t,362.5,1.43,493.0,-5.943415832085721,-4.5134158320857205,3.0,5.0,305.0,0.128,-2.6816360356689417
t,362.5,1.43,493.0,-5.943415832085721,-4.5134158320857205,3.0,5.0,305.0,0.075,-2.018941543960368
t*,362.5,1.43,493.0,-5.89557289247554,-4.4655728924755405,3.0,5.0,308.0,0.1,-3.638700466919065
t,360.4,1.69,514.0,-6.2076083105017466,-4.517608310501746,3.0,5.0,298.0,0.01,-4.327902142064283
t,288.4,2.94,555.0,-7.031517051446065,-4.091517051446065,3.0,3.0,299.0,0.1,-4.3979400086720375
t,288.4,2.94,555.0,-7.031517051446065,-4.091517051446065,3.0,3.0,299.0,0.1,-4.3979400086720375
t,272.4,4.01,449.0,-7.7447274948966935,-3.7347274948966938,2.0,2.0,310.0,0.01,-2.0123337350737254
t,272.4,4.01,449.0,-7.886056647693163,-3.876056647693163,2.0,2.0,299.0,0.1,-3.5228787452803374
t*,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.281498311132726
t,272.4,4.01,449.0,-7.7447274948966935,-3.7347274948966938,2.0,2.0,310.0,0.01,-2.0123337350737254
t,272.4,4.01,449.0,-7.886056647693163,-3.876056647693163,2.0,2.0,299.0,0.1,-3.5228787452803374
t*,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.281498311132726
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.4294570601181023
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.5391021572434522
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.8041003475907664
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.223298816011589
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.598599459218456
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.6270879970298933
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.388276691992658
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.5214335044061564
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.4509967379742124
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.492144128304169
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.4775557664936803
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.571865205971211
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.640164517660112
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-2.4828041020500256
